File_Name,Coef_Pearson,Iph_0,Is_0,nd_0,Rs_0,Rp_0,Iph,Is,nd,Rs,Rp
2024-03-14_12:01:10,-0.9126,1.42973,9.825000e-08,1.91823,1.8039,306.67783,1.13388,6.308709e-09,1.01916,1.38743,357.43373
2024-03-14_12:02:09,-0.8939,1.46584,9.825000e-08,1.91823,1.77447,236.1157,1.45863,1.943132e-08,1.06867,0.29174,227.42983
2024-03-14_12:03:09,-0.8977,1.35123,9.825000e-08,1.86011,1.9686,378.79954,1.3856,6.872904e-08,1.1498,0.06869,120.22517
2024-03-14_12:04:10,-0.8929,1.32911,9.825000e-08,1.86011,1.93129,391.41672,1.32845,1.354175e-07,1.19436,0.1238,281.06461
2024-03-14_12:05:09,-0.8963,1.33905,9.825000e-08,1.86011,1.97352,275.89263,1.33968,9.836899e-08,1.17314,0.14426,179.56569
2024-03-14_12:06:10,-0.8963,1.30213,9.825000e-08,1.86011,2.05873,261.92744,1.31285,1.038892e-07,1.17758,0.10733,165.87803
2024-03-14_12:07:09,-0.8886,1.37354,9.825000e-08,1.91823,1.78192,367.12799,1.33752,7.874769e-09,1.01552,0.31504,488.64797
2024-03-14_12:08:09,-0.9079,1.63543,9.825000e-08,1.91823,1.56505,358.03119,1.43459,4.320055e-09,0.99186,0.96744,428.11305
2024-03-14_12:09:09,-0.8936,1.28996,9.825000e-08,1.86011,1.89205,507.87307,1.29122,1.120023e-07,1.18065,0.1474,268.98894
2024-03-14_12:10:09,-0.8948,1.18509,9.825000e-08,1.86011,2.19357,397.99812,1.20036,6.393046e-08,1.14314,0.14687,194.20085
2024-03-14_12:11:10,-0.8949,1.21835,9.825000e-08,1.86011,2.17186,323.86317,1.22002,1.387160e-07,1.19978,0.14098,254.16899
